cohort1	subcohort1	cohort2	subcohort2	ancestry1	ancestry2	rg	se	z	p	h2_obs	h2_obs_se	h2_int	h2_int_se	gcov_int	gcov_int_se
23andMe	v7_2_202012	AGDS	202012	eur	eur	1.1915	0.1031	11.5537	7.0714e-31	0.1122	0.0217	1.0232	0.0077	-0.0042	0.007
23andMe	v7_2_202012	Airwave	0820	eur	eur	0.5717	0.1163	4.9162	8.8241e-7	0.0763	0.0267	0.987	0.0079	-0.0121	0.0068
23andMe	v7_2_202012	ALSPAC	12082019	eur	eur	1.0386	3.5863	0.2896	0.7721	0.0288	0.1206	1.008	0.0083	-0.01	0.0079
23andMe	v7_2_202012	BASIC	202011	eur	eur	NA	NA	NA	NA	-0.0157	0.1747	0.9993	0.0086	-0.0123	0.0068
23andMe	v7_2_202012	BioVU	Cov_SAIGE_202101	eur	eur	NA	NA	NA	NA	-0.0054	0.0139	1	0.0069	0.0088	0.007
23andMe	v7_2_202012	DBDS	FINAL202103	eur	eur	0.55	0.0378	14.5533	5.5613e-48	0.0397	0.0038	1.011	0.0073	-0.0058	0.0069
23andMe	v7_2_202012	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.7713	0.0554	13.922	4.6564e-44	0.086	0.0115	0.9987	0.0084	-0.0031	0.0067
23andMe	v7_2_202012	ESTBB	EstBB	eur	eur	1.5544	0.4409	3.5253	4e-4	0.0067	0.004	0.993	0.0074	0.0111	0.0076
23andMe	v7_2_202012	EXCEED	202010	eur	eur	0.7283	0.6341	1.1486	0.2507	0.1098	0.1778	1.0006	0.0074	-0.0074	0.0077
23andMe	v7_2_202012	FinnGen	R5_18032020	eur	eur	0.7669	0.0506	15.1516	7.3964e-52	0.0241	0.0031	1.0402	0.0093	0.0019	0.0064
23andMe	v7_2_202012	GenScot	1215a	eur	eur	0.509	0.1776	2.8652	0.0042	0.1042	0.0597	0.9917	0.0069	-0.0084	0.0064
23andMe	v7_2_202012	GERA	0915a_mds5	eur	eur	0.7495	0.1067	7.0245	2.1487e-12	0.0412	0.0111	0.9953	0.0081	0.0087	0.0078
23andMe	v7_2_202012	HUNT	gp_all_20190625	eur	eur	0.6637	0.1544	4.2993	1.7138e-5	0.0373	0.0157	1.0115	0.0073	0.006	0.0067
23andMe	v7_2_202012	HUNT	hospital_all_20190625	eur	eur	0.6593	0.0825	7.9911	1.3369e-15	0.099	0.0225	0.9912	0.0074	-0.003	0.0065
23andMe	v7_2_202012	iPSYCH	2012_HRC	eur	eur	0.7207	0.0418	17.2215	1.8312e-66	0.1491	0.0154	1.0218	0.0096	0.0219	0.0093
23andMe	v7_2_202012	iPSYCH	2015i_HRC	eur	eur	0.8166	0.0777	10.5137	7.4742e-26	0.1121	0.0211	0.998	0.0083	-6e-4	0.0073
23andMe	v7_2_202012	lgic2	202011	eur	eur	0.7199	0.2724	2.6425	0.0082	0.1273	0.0889	1.0049	0.0072	-0.0076	0.0074
23andMe	v7_2_202012	MDD29	0120a_rmUKBB	eur	eur	0.7292	0.0488	14.9408	1.7876e-50	0.1123	0.0144	0.9839	0.0085	0.0064	0.0078
23andMe	v7_2_202012	MDD47	29w2_18w3_1503	eur	eur	0.81	0.0435	18.6139	2.4773e-77	0.0776	0.0084	1.0074	0.0083	0.0073	0.0072
23andMe	v7_2_202012	MoBa	harvest12	eur	eur	0.5226	0.2711	1.9278	0.053900000000000003	0.0553	0.0525	0.9969	0.0088	0.0025	0.0078
23andMe	v7_2_202012	MoBa	harvest24	eur	eur	0.5631	1.0354	0.5438	0.5866	0.0255	0.0766	0.998	0.0089	0.0082	0.0079
23andMe	v7_2_202012	MoBa	rotterdam1	eur	eur	0.5995	0.3298	1.8178	0.0691	0.0529	0.056	1.0026	0.008	-0.0033	0.0075
23andMe	v7_2_202012	MVP	ICDdep_AllSex_202101	eur	eur	0.6432	0.028	22.9801	7.3768e-117	0.049	0.0033	1.0203	0.0093	0.006	0.0082
23andMe	v7_2_202012	PBK	2020	eur	eur	0.8029	0.1686	4.7626	1.9113e-6	0.0517	0.0198	1.0023	0.0068	-7e-4	0.0064
23andMe	v7_2_202012	PGC	wray2018	eur	eur	0.905	0.0164	55.0551	0	0.0565	0.0025	1.0005	0.0118	0.0712	0.0096
23andMe	v7_2_202012	PREFECT	run1	eur	eur	0.3754	0.0527	7.1291	1.0102e-12	0.5404	0.0997	0.9853	0.0072	-0.0053	0.0065
23andMe	v7_2_202012	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0676	0.0502	1.0131	0.0081	0.0015	0.0074
23andMe	v7_2_202012	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.0408	0.2852	1.0009	0.0071	9e-4	0.0068
23andMe	v7_2_202012	UKBB	MD_glm_202012	eur	eur	0.7025	0.0273	25.7194	7.0984e-146	0.0292	0.0019	1.0154	0.0083	0.0056	0.008
AGDS	202012	Airwave	0820	eur	eur	0.5512	0.1915	2.8781	0.004	0.0761	0.031	0.9896	0.0083	0.0061	0.0056
AGDS	202012	ALSPAC	12082019	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGDS	202012	BASIC	202011	eur	eur	NA	NA	NA	NA	-0.0376	0.1654	1	0.0077	-0.0044	0.0056
AGDS	202012	BioVU	Cov_SAIGE_202101	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGDS	202012	DBDS	FINAL202103	eur	eur	0.6351	0.1121	5.6674	1.4498e-8	0.0395	0.0039	1.0122	0.0073	6e-4	0.0059
AGDS	202012	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.7181	0.1353	5.3094	1.0997e-7	0.0861	0.0112	1.0009	0.0083	0.0085	0.0055
AGDS	202012	ESTBB	EstBB	eur	eur	1.9226	0.5599	3.4336	6e-4	0.0072	0.0039	0.993	0.0074	0.0067	0.0055
AGDS	202012	EXCEED	202010	eur	eur	0.8205	1.2245	0.6701	0.5028	0.0682	0.1711	1.0034	0.0072	-0.0014	0.0054
AGDS	202012	FinnGen	R5_18032020	eur	eur	0.8202	0.1368	5.9936	2.0524e-9	0.0237	0.0032	1.0446	0.009	0.0066	0.0055
AGDS	202012	GenScot	1215a	eur	eur	0.4104	0.2645	1.5516	0.1208	0.1011	0.0623	0.9919	0.0071	-0.0013	0.0053
AGDS	202012	GERA	0915a_mds5	eur	eur	1.053	0.2077	5.0699	3.9797e-7	0.0421	0.0113	0.9938	0.008	0.0013	0.0061
AGDS	202012	HUNT	gp_all_20190625	eur	eur	0.6564	0.2183	3.0062	0.0026	0.0348	0.0155	1.0135	0.0073	0.0053	0.0052
AGDS	202012	HUNT	hospital_all_20190625	eur	eur	0.8065	0.178	4.5299	5.9023e-6	0.1005	0.0231	0.9901	0.0077	0.0028	0.0055
AGDS	202012	iPSYCH	2012_HRC	eur	eur	0.595	0.1043	5.7064	1.154e-8	0.1514	0.0148	1.0235	0.0096	0.0146	0.0067
AGDS	202012	iPSYCH	2015i_HRC	eur	eur	0.8191	0.1613	5.0777	3.8199e-7	0.119	0.0213	0.996	0.0079	0.0052	0.0056
AGDS	202012	lgic2	202011	eur	eur	0.5222	0.2867	1.8218	0.0685	0.1443	0.0842	1.0029	0.0074	0.0064	0.0053
AGDS	202012	MDD29	0120a_rmUKBB	eur	eur	0.8068	0.1185	6.8086	9.8586e-12	0.1167	0.0163	0.9812	0.009	0.0114	0.0059
AGDS	202012	MDD47	29w2_18w3_1503	eur	eur	0.9611	0.1178	8.1591	3.374e-16	0.0784	0.0093	1.0066	0.0087	0.0074	0.0061
AGDS	202012	MoBa	harvest12	eur	eur	0.5982	0.376	1.5911	0.1116	0.0632	0.0514	0.9958	0.0088	-0.0021	0.0063
AGDS	202012	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AGDS	202012	MoBa	rotterdam1	eur	eur	0.308	0.4292	0.7176	0.473	0.0383	0.0534	1.0046	0.0078	0.0096	0.0061
AGDS	202012	MVP	ICDdep_AllSex_202101	eur	eur	0.7121	0.0871	8.1763	2.9273e-16	0.0493	0.0034	1.0214	0.0099	0.0102	0.0059
AGDS	202012	PBK	2020	eur	eur	1.007	0.287	3.508	5e-4	0.0537	0.0201	1.002	0.0066	0.002	0.005
AGDS	202012	PGC	wray2018	eur	eur	1.1129	0.0973	11.4374	2.7205e-30	0.0571	0.0024	1	0.0123	0.0078	0.0068
AGDS	202012	PREFECT	run1	eur	eur	0.283	0.1372	2.0628	0.0391	0.54990000000000006	0.0996	0.9861	0.0072	-0.0033	0.0047
AGDS	202012	STAGE	MDDdx_saige	eur	eur	NA	NA	NA	NA	-0.0784	0.0517	1.0158	0.0083	0.0014	0.0063
AGDS	202012	tkda1	run1	eur	eur	NA	NA	NA	NA	-0.0378	0.3087	1	0.0074	-0.0049	0.0057
AGDS	202012	UKBB	MD_glm_202012	eur	eur	0.8683	0.0915	9.4855	2.4118e-21	0.0296	0.0019	1.0155	0.0078	0.0037	0.0063
Airwave	0820	BASIC	202011	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Airwave	0820	BioVU	Cov_SAIGE_202101	eur	eur	NA	NA	NA	NA	-7e-4	0.0144	0.9967	0.0077	0.005	0.0054
Airwave	0820	DBDS	FINAL202103	eur	eur	0.2765	0.1399	1.9763	0.0481	0.0389	0.0038	1.0114	0.0079	3e-4	0.0053
Airwave	0820	deCODE	DEPALL_FINAL_WHEAD	eur	eur	0.5942	0.1734	3.4267	6e-4	0.0879	0.0115	0.9971	0.009	-0.0026	0.0057
Airwave	0820	ESTBB	EstBB	eur	eur	0.7805	0.5796	1.3466	0.1781	0.006	0.004	0.9985	0.008	0.0033	0.0052
Airwave	0820	EXCEED	202010	eur	eur	0.2525	0.693	0.3643	0.7156	0.1121	0.176	1.0001	0.0078	0.0023	0.0058
Airwave	0820	FinnGen	R5_18032020	eur	eur	0.3587	0.1762	2.036	0.0417	0.0252	0.0032	1.0352	0.009	0.0076	0.0062
Airwave	0820	GenScot	1215a	eur	eur	0.4458	0.5217	0.8546	0.3928	0.0581	0.062	1.0005	0.0078	-0.0013	0.0053
Airwave	0820	GERA	0915a_mds5	eur	eur	0.3171	0.2138	1.4831	0.138	0.0449	0.0112	0.9909	0.0077	0.0034	0.0052
Airwave	0820	HUNT	gp_all_20190625	eur	eur	0.3097	0.2429	1.2751	0.2023	0.0457	0.0162	1.0058	0.0074	-0.0051	0.0051
Airwave	0820	HUNT	hospital_all_20190625	eur	eur	0.4621	0.2656	1.7399	0.0819	0.098	0.0234	0.9926	0.0079	-0.0029	0.0058
Airwave	0820	iPSYCH	2012_HRC	eur	eur	0.3948	0.185	2.1337	0.0329	0.1486	0.0151	1.023	0.0097	0.0025	0.0063
Airwave	0820	iPSYCH	2015i_HRC	eur	eur	0.4677	0.1874	2.4952	0.0126	0.1167	0.022	0.9945	0.0086	0.0018	0.0056
Airwave	0820	lgic2	202011	eur	eur	0.299	0.3165	0.9446	0.3449	0.1837	0.0897	0.9983	0.0078	-0.004	0.0051
Airwave	0820	MDD29	0120a_rmUKBB	eur	eur	0.2656	0.1654	1.6055	0.1084	0.1138	0.0152	0.9847	0.0089	0.0032	0.0059
Airwave	0820	MDD47	29w2_18w3_1503	eur	eur	0.2439	0.1508	1.6176	0.1058	0.076	0.0084	1.0095	0.008	0.0073	0.0055
Airwave	0820	MoBa	harvest12	eur	eur	0.3209	0.4843	0.6627	0.5075	0.05	0.0509	0.9992	0.0084	0.0018	0.0058
Airwave	0820	MoBa	harvest24	eur	eur	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Airwave	0820	MoBa	rotterdam1	eur	eur	0.3143	0.5455	0.5762	0.5645	0.0387	0.0532	1.0041	0.0081	0.0024	0.0053
Airwave	0820	MVP	ICDdep_AllSex_202101	eur	eur	0.2331	0.0998	2.3344	0.0196	0.0496	0.0035	1.0166	0.0104	0.012	0.0057
Airwave	0820	PBK	2020	eur	eur	0.491	0.2608	1.8826	0.0598	0.0545	0.0206	1.0011	0.0072	-0.0012	0.005
Airwave	0820	PGC	wray2018	eur	eur	0.4321	0.1059	4.0817	4.47e-5	0.0564	0.0024	1.0005	0.0121	0.0077	0.0062
